CRC: 0xC66E4497  File: movies.list  Date: Fri May  6 00:00:00 2016

Copyright 1991-2016 The Internet Movie Database Ltd. All rights reserved.

http://www.imdb.com

movies.list

6 May 2016

-----------------------------------------------------------------------------

MOVIES LIST
===========

"!Next?" (1994)						1994-1995
"...Amb Manel Fuentes" (2004) {(2004-08-25)}		2004
"...Amb Manel Fuentes" (2004) {(2004-08-31)}		2004
"...Amb Manel Fuentes" (2004) {(2004-09-01)}		2004
"...Amb Manel Fuentes" (2004) {(2004-09-06)}		2004
"...Amb Manel Fuentes" (2004) {(2004-09-07)}		2004
"...Amb Manel Fuentes" (2004) {(2004-09-13)}		2004
"...Amb Manel Fuentes" (2004) {(2004-09-15)}		2004
"...Amb Manel Fuentes" (2004) {(2004-09-20)}		2004
"...Amb Manel Fuentes" (2004) {(2004-09-22)}		2004
"...Amb Manel Fuentes" (2004) {(2004-10-21)}		2004
"...Amb Manel Fuentes" (2004) {(2004-11-11)}		2004
"...Amb Manel Fuentes" (2004) {(2004-11-25)}		2004
"...bitte mit Sahner" (2007)				2007-????
"...bitte mit Sahner" (2007) {(#1.1)}			2007
"...bitte mit Sahner" (2007) {(#1.2)}			2007
"...bitte mit Sahner" (2007) {(#1.3)}			2007
"...bitte mit Sahner" (2007) {(#1.4)}			2007
"...bitte mit Sahner" (2007) {(#1.5)}			2007
"...De raíz luna" (2008)				2008-????
"...du nix Faschist, du Charascho" (????) {{SUSPENDED}}	????
"...e la vita continua" (1984)				1984-????
"...e le stelle stanno a guardare" (1971)		1971-????
"...e le stelle stanno a guardare" (1971) {(#1.1)}	1971
"...e le stelle stanno a guardare" (1971) {(#1.2)}	1971
"...e le stelle stanno a guardare" (1971) {(#1.3)}	1971
"...e le stelle stanno a guardare" (1971) {(#1.4)}	1971
"...e le stelle stanno a guardare" (1971) {(#1.5)}	1971
"...e le stelle stanno a guardare" (1971) {(#1.6)}	1971
"...e le stelle stanno a guardare" (1971) {(#1.7)}	1971
"...e le stelle stanno a guardare" (1971) {(#1.8)}	1971
"...e le stelle stanno a guardare" (1971) {(#1.9)}	1971
"...Erbin sein - dagegen sehr" (1985)			1985-????
"...Erbin sein - dagegen sehr" (1985) {Arglistige Täuschung (#1.5)}	1985
"...Erbin sein - dagegen sehr" (1985) {Bretter, die die Welt bedeuten (#1.12)}	1985
"...Erbin sein - dagegen sehr" (1985) {Die Ernte (#1.9)}	1985
"...Erbin sein - dagegen sehr" (1985) {Die große Welt (#1.10)}	1985
"...Erbin sein - dagegen sehr" (1985) {Geldgeschäfte (#1.8)}	1985
"...Erbin sein - dagegen sehr" (1985) {Hausinspektion (#1.4)}	1985
"...Erbin sein - dagegen sehr" (1985) {Immobilienhandel (#1.3)}	1985
"...Erbin sein - dagegen sehr" (1985) {Kaffeeklatsch (#1.2)}	1985
"...Erbin sein - dagegen sehr" (1985) {Mieterversammlung (#1.7)}	1985
"...Erbin sein - dagegen sehr" (1985) {Tratsch im Treppenhaus (#1.11)}	1985
"...Erbin sein - dagegen sehr" (1985) {Wer anderen eine Grube gräbt (#1.6)}	1985
"...Erbin sein - dagegen sehr" (1985) {Willkommen in Hamburg (#1.1)}	1985
"...ganz persönlich" (1974)				1974-1988
"...ganz persönlich" (1974) {Jürgen von Manger}		1976
"...ganz persönlich" (1974) {Lilli Palmer}		1974
"...ganz persönlich" (1974) {Otto Schenk}		1975
"...mal ehrlich" (1993)					1993-????
"...mal ehrlich" (1993) {(2000-03-03)}			2000
"...og ikke nok med det" (1995)				1995-????
"...The Making of" (1993)				1993-????
"...und im Keller gärt es" (1995)			1995-????
"...und im Keller gärt es" (1995) {Alimente (#1.3)}	1995
"...und im Keller gärt es" (1995) {Der Sultan (#1.8)}	1999
"...und im Keller gärt es" (1995) {Die Weinkönigin (#1.7)}	1999
"...und im Keller gärt es" (1995) {Festspiele (#1.2)}	1995
"...und im Keller gärt es" (1995) {Hexenschuß (#1.1)}	1995
"...und im Keller gärt es" (1995) {Klapsmühle (#1.5)}	1998
"...und im Keller gärt es" (1995) {Prinz (#1.6)}	1998
"...und im Keller gärt es" (1995) {Quarantäne (#1.9)}	1999
"...und im Keller gärt es" (1995) {Umbau (#1.4)}	1998
"...Y siete" (1971)					1971-????
"...Ystera, irthan oi melisses" (2000)			2000-????
"..1..2..3 rul!" (2000)					2000-????
".Cat" (2014)						2014-????
".Cat" (2014) {(#1.1)}					2014
".Cat" (2014) {(#1.10)}					2014
".Cat" (2014) {(#1.11)}					2014
".Cat" (2014) {(#1.12)}					2014
".Cat" (2014) {(#1.2)}					2014
".Cat" (2014) {(#1.3)}					2014
".Cat" (2014) {(#1.4)}					2014
".Cat" (2014) {(#1.5)}					2014
".Cat" (2014) {(#1.6)}					2014
".Cat" (2014) {(#1.7)}					2014
".Cat" (2014) {(#1.8)}					2014
".Cat" (2014) {(#1.9)}					2014
".Cat" (2014) {(#2.1)}					2014
".Cat" (2014) {(#2.10)}					2014
".Cat" (2014) {(#2.11)}					2014
".Cat" (2014) {(#2.12)}					2014
".Cat" (2014) {(#2.13)}					2014
".Cat" (2014) {(#2.15)}					2014
".Cat" (2014) {(#2.16)}					2015
".Cat" (2014) {(#2.17)}					2015
".Cat" (2014) {(#2.18)}					2015
".Cat" (2014) {(#2.19)}					2015
".Cat" (2014) {(#2.2)}					2014
".Cat" (2014) {(#2.20)}					2015
".Cat" (2014) {(#2.21)}					2015
".Cat" (2014) {(#2.22)}					2015
".Cat" (2014) {(#2.23)}					2015
".Cat" (2014) {(#2.24)}					2015
".Cat" (2014) {(#2.25)}					2015
".Cat" (2014) {(#2.26)}					2015
".Cat" (2014) {(#2.27)}					2015
".Cat" (2014) {(#2.28)}					2015
".Cat" (2014) {(#2.29)}					2015
".Cat" (2014) {(#2.3)}					2014
".Cat" (2014) {(#2.30)}					2015
".Cat" (2014) {(#2.31)}					2015
".Cat" (2014) {(#2.32)}					2015
".Cat" (2014) {(#2.33)}					2015
".Cat" (2014) {(#2.34)}					2015
".Cat" (2014) {(#2.35)}					2015
".Cat" (2014) {(#2.36)}					2015
".Cat" (2014) {(#2.37)}					2015
".Cat" (2014) {(#2.38)}					2015
".Cat" (2014) {(#2.39)}					2015
".Cat" (2014) {(#2.4)}					2014
".Cat" (2014) {(#2.40)}					2015
".Cat" (2014) {(#2.5)}					2014
".Cat" (2014) {(#2.6)}					2014
".Cat" (2014) {(#2.7)}					2014
".Cat" (2014) {(#2.8)}					2014
".Cat" (2014) {(#2.9)}					2014
".Cat" (2014) {(#3.1)}					2015
".Cat" (2014) {(#3.10)}					2015
".Cat" (2014) {(#3.11)}					2015
".Cat" (2014) {(#3.12)}					2016
".Cat" (2014) {(#3.13)}					2016
".Cat" (2014) {(#3.14)}					2016
".Cat" (2014) {(#3.15)}					2016
".Cat" (2014) {(#3.16)}					2016
".Cat" (2014) {(#3.17)}					2016
".Cat" (2014) {(#3.18)}					2016
".Cat" (2014) {(#3.19)}					2016
".Cat" (2014) {(#3.2)}					2015
".Cat" (2014) {(#3.20)}					2016
".Cat" (2014) {(#3.21)}					2016
".Cat" (2014) {(#3.22)}					2016
".Cat" (2014) {(#3.23)}					2016
".Cat" (2014) {(#3.24)}					2016
".Cat" (2014) {(#3.25)}					2016
".Cat" (2014) {(#3.26)}					2016
".Cat" (2014) {(#3.27)}					2016
".Cat" (2014) {(#3.28)}					2016
".Cat" (2014) {(#3.29)}					2016
".Cat" (2014) {(#3.3)}					2015
".Cat" (2014) {(#3.30)}					2016
".Cat" (2014) {(#3.31)}					2016
".Cat" (2014) {(#3.32)}					2016
".Cat" (2014) {(#3.33)}					2016
".Cat" (2014) {(#3.34)}					2016
".Cat" (2014) {(#3.35)}					2016
".Cat" (2014) {(#3.4)}					2015
".Cat" (2014) {(#3.5)}					2015
".Cat" (2014) {(#3.6)}					2015
".Cat" (2014) {(#3.7)}					2015
".Cat" (2014) {(#3.8)}					2015
".Cat" (2014) {(#3.9)}					2015
".COM" (1999)						1999-2000
".COM" (1999) {Free Websites (#2.5)}			2000
".COM" (1999) {My Kids (#4.15)}				1999
".hack//Roots" (2006)					2006-????
".hack//Roots" (2006) {Bonds (#1.22)}			2006
".hack//Roots" (2006) {Break Up (#1.12)}		2006
".hack//Roots" (2006) {Conflict (#1.6)}			2006
".hack//Roots" (2006) {Confront (#1.24)}		2006
".hack//Roots" (2006) {Defeat (#1.21)}			2006
".hack//Roots" (2006) {Determination (#1.26)}		2006
".hack//Roots" (2006) {Discord (#1.11)}			2006
".hack//Roots" (2006) {Distrust (#1.5)}			2006
".hack//Roots" (2006) {Forefeel (#1.4)}			2006
".hack//Roots" (2006) {Intrigue (#1.7)}			2006
".hack//Roots" (2006) {Join (#1.3)}			2006
".hack//Roots" (2006) {Limit (#1.18)}			2006
".hack//Roots" (2006) {Melle (#1.9)}			2006
".hack//Roots" (2006) {Missing (#1.10)}			2006
".hack//Roots" (2006) {Pad (#1.15)}			2006
".hack//Roots" (2006) {Painful Forest (#1.17)}		2006
".hack//Roots" (2006) {Pursuit (#1.20)}			2006
".hack//Roots" (2006) {Resolution (#1.16)}		2006
".hack//Roots" (2006) {Starting (#1.8)}			2006
".hack//Roots" (2006) {Tragedy (#1.13)}			2006
".hack//Roots" (2006) {Trial (#1.23)}			2006
".hack//Roots" (2006) {Truth (#1.25)}			2006
".hack//Roots" (2006) {Twilight Brigade (#1.2)}		2006
".hack//Roots" (2006) {Unreturner (#1.14)}		2006
".hack//Roots" (2006) {Violation (#1.19)}		2006
".hack//Roots" (2006) {Welcome to 'The World' (#1.1)}	2006
".hack//SIGN" (2002)					2002-????
".hack//SIGN" (2002) {Captured (#1.5)}			2002
".hack//SIGN" (2002) {Castle (#1.14)}			2002
".hack//SIGN" (2002) {Catastrophe (#1.25)}		2002
".hack//SIGN" (2002) {Compensation (#1.10)}		2002
".hack//SIGN" (2002) {Conflict (#1.17)}			2002
".hack//SIGN" (2002) {Declaration (#1.18)}		2002
".hack//SIGN" (2002) {Depth (#1.16)}			2002
".hack//SIGN" (2002) {Despair (#1.21)}			2002
".hack//SIGN" (2002) {Encounter (#1.6)}			2002
".hack//SIGN" (2002) {Entanglement (#1.12)}		2002
".hack//SIGN" (2002) {Epitaph (#1.9)}			2002
".hack//SIGN" (2002) {Evidence (#1.15)}			2002
".hack//SIGN" (2002) {Folklore (#1.3)}			2002
".hack//SIGN" (2002) {Guardian (#1.2)}			2002
".hack//SIGN" (2002) {Intermezzo (#1.27)}		2002
".hack//SIGN" (2002) {Net Slum (#1.24)}			2002
".hack//SIGN" (2002) {Party (#1.11)}			2002
".hack//SIGN" (2002) {Phantom (#1.22)}			2002
".hack//SIGN" (2002) {Promise (#1.8)}			2002
".hack//SIGN" (2002) {Reason (#1.7)}			2002
".hack//SIGN" (2002) {Recollection (#1.19)}		2002
".hack//SIGN" (2002) {Return (#1.26)}			2002
".hack//SIGN" (2002) {Role Play (#1.1)}			2002
".hack//SIGN" (2002) {Tempest (#1.20)}			2002
".hack//SIGN" (2002) {The Eve (#1.23)}			2002
".hack//SIGN" (2002) {Twilight Eye (#1.13)}		2002
".hack//SIGN" (2002) {Unison (#1.28)}			2003
".hack//SIGN" (2002) {Wanted (#1.4)}			2002
".hack//Tasogare no udewa densetsu" (2003)		2003-????
".hack//Tasogare no udewa densetsu" (2003) {Densetsu no Hajimari (#1.12)}	2003
".hack//Tasogare no udewa densetsu" (2003) {Densetsu no yusha (#1.1)}	2003
".hack//Tasogare no udewa densetsu" (2003) {Fushicho no hane (#1.3)}	2003
".hack//Tasogare no udewa densetsu" (2003) {Hokai no ashioto (#1.9)}	2003
".hack//Tasogare no udewa densetsu" (2003) {Kaito no udewa (#1.2)}	2003
".hack//Tasogare no udewa densetsu" (2003) {Koko no kishi (#1.8)}	2003
".hack//Tasogare no udewa densetsu" (2003) {Kyofu no yakata (#1.5)}	2003
".hack//Tasogare no udewa densetsu" (2003) {Maboroshi no Miyako (#1.10)}	2003
".hack//Tasogare no udewa densetsu" (2003) {Sekai no owari (#1.11)}	2003
".hack//Tasogare no udewa densetsu" (2003) {Tanabata no yoru (#1.4)}	2003
".hack//Tasogare no udewa densetsu" (2003) {Tasogare no tsuki (#1.7)}	2003
".hack//Tasogare no udewa densetsu" (2003) {Yukemuri no wana (#1.6)}	2003
"/Comedy" (2010)					2010-????
"/Drive on NBCSN" (2014)				2014-????
"/Drive on NBCSN" (2014) {American Road Trip (#2.4)}	2015
"/Drive on NBCSN" (2014) {American Speed (#2.3)}	2015
"/Drive on NBCSN" (2014) {Ferrari, Ferrari, Ferrari (#1.5)}	2014
"/Drive on NBCSN" (2014) {German Special (#2.2)}	2015
"/Drive on NBCSN" (2014) {Hennessey Venom GT (#1.3)}	2014
"/Drive on NBCSN" (2014) {King of Hammers}		2014
"/Drive on NBCSN" (2014) {McLaren (#1.2)}		2014
"/Drive on NBCSN" (2014) {Middle East Special (#2.1)}	2015
"/Drive on NBCSN" (2014) {Monaco (#1.1)}		2014
"/Drive on NBCSN" (2014) {Questionable Road Usage (#1.4)}	2014
"0 Shieuigeunyuh" (2015)				2015-????
"00 Heaven" (2001)					2001-2002
"003 y medio" (1979)					1979-1980
"009-1" (2006)						2006-????
"009-1" (2006) {Dasshutsu (#1.11)}			2006
"009-1" (2006) {Fukushû (#1.9)}				2006
"009-1" (2006) {Gyaku bakuhatsu (#1.10)}		2006
"009-1" (2006) {Hâdo boirudo (#1.3)}			2006
"009-1" (2006) {Kinô no koyomi (#1.8)}			2006
"009-1" (2006) {Kojô yori no shôtaijô (#1.4)}		2006
"009-1" (2006) {Minato (#1.7)}				2006
"009-1" (2006) {Poppu (#1.6)}				2006
"009-1" (2006) {R&B}					2007
"009-1" (2006) {Seiya (#1.2)}				2006
"009-1" (2006) {Sen'nyûsha tachi (#1.1)}		2006
"009-1" (2006) {Yoake (#1.12)}				2006
"009-1" (2006) {Ôgon no onna (#1.5)}			2006
"00Angels" (2014)					2014-????
"00Angels" (2014) {Axe's Ploy}				2015
"00Angels" (2014) {Break}				2014
"00Angels" (2014) {Bulge's Battle}			2014
"00Angels" (2014) {Bulge's Beatdown}			2015
"00Angels" (2014) {Bulge's Defeat}			2015
"00Angels" (2014) {Bulge's Meltdown}			2015
"00Angels" (2014) {Chip Trickery}			2014
"00Angels" (2014) {Den of Spies}			2015
"00Angels" (2014) {Femme Fatale}			2014
"00Angels" (2014) {Formula for Pain}			2015
"00Angels" (2014) {High Stakes}				2014
"00Angels" (2014) {Higher Stakes}			2014
"00Angels" (2014) {Silk and Steel}			2015
"00Angels" (2014) {Smoke Bomb}				2015
"00Angels" (2014) {Toying with the Enemy}		2015
"01-For London" (1987)					1987-1990
"01-For London" (1987) {(1988-09-22)}			1988
"01-For London" (1987) {(1992-03-12)}			1992
"0137" (1991)						1991-1993
"0137" (1991) {(1992-03-09)}				1992
"0137" (1991) {(1993-11-08)}				1993
"045" (2014)						2014-????
"0511 Sondersendung zu Theaterformen" (2007)		2007-????
"0511 TV Lokal" (2007)					2007-????
"0511 TV Lokal" (2007) {'Der Prozeß' bei Theaterformen 2009}	2009
"0511 TV Lokal" (2007) {10 Jahre AWO rennt}		2008
"0511 TV Lokal" (2007) {2.000km durch Deutschland - Oldtimer-Rallye}	2007
"0511 TV Lokal" (2007) {2.Fest der Kulturen (#1.8)}	2011
"0511 TV Lokal" (2007) {3.Fest der Kulturen (#1.3)}	2012
"0511 TV Lokal" (2007) {A Clockwork Orange im Ballhof}	2007
"0511 TV Lokal" (2007) {Anatevka}			2008
"0511 TV Lokal" (2007) {Andrea Focks im Atelier}	2008
"0511 TV Lokal" (2007) {Arnulf Ratings Stresstest Deutschland}	2012
"0511 TV Lokal" (2007) {Ausstellung 'Ü 10' im Faust}	2007
"0511 TV Lokal" (2007) {Autofreier Sonntag in Hannover}	2011
"0511 TV Lokal" (2007) {AWO-Kinderlauf}			2011
"0511 TV Lokal" (2007) {Ba-ta-clan/Salon Pitzelberger - Jacques Offenbach im Ballhof}	2007
"0511 TV Lokal" (2007) {Babylon - Theaterfestival}	2008
"0511 TV Lokal" (2007) {Bandfactory - Frames}		2010
"0511 TV Lokal" (2007) {Bericht vom 21. CDU-Parteitag in Hannover}	2007
"0511 TV Lokal" (2007) {Biomekkanik + Auto-Auto im Talk}	2009
"0511 TV Lokal" (2007) {Bravo, Bene! Arnulf Ratings Aufwärts}	2010
"0511 TV Lokal" (2007) {Buchpräsentation: 'Das musst du erzählen - Erinnerungen an Willy Brandt' von Egon Bahr}	2013
"0511 TV Lokal" (2007) {Cebit 2012}			2012
"0511 TV Lokal" (2007) {Dagmar Huth}			2007
"0511 TV Lokal" (2007) {Das blaue Wunder (#1.7)}	2013
"0511 TV Lokal" (2007) {David Thorpe im Kunstverein}	2009
"0511 TV Lokal" (2007) {DNA-Test}			2010
"0511 TV Lokal" (2007) {Ein Sonntag im Park}		2008
"0511 TV Lokal" (2007) {Elektromobilität auf der MobiliTec}	2011
"0511 TV Lokal" (2007) {Fiat 500}			2008
"0511 TV Lokal" (2007) {Frank Popp}			2007
"0511 TV Lokal" (2007) {Fährmannsfest}			2009
"0511 TV Lokal" (2007) {Gartenlust im Georgengarten}	2009
"0511 TV Lokal" (2007) {Hahnenfuß bedeckt Maschsee}	2009
"0511 TV Lokal" (2007) {Hanover's Boys' Choir}		2008
"0511 TV Lokal" (2007) {Hart am Wind - Kinder & Jugend -Theaterfestival}	2010
"0511 TV Lokal" (2007) {Ideen-Expo 2009}		2009
"0511 TV Lokal" (2007) {Internationaler Großmodellflugtag Lehrte}	2009
"0511 TV Lokal" (2007) {Jazz am Ballhof 2}		2009
"0511 TV Lokal" (2007) {Jazz am Ballhof}		2009
"0511 TV Lokal" (2007) {Johannes Heesters Ausstellung im Theatermuseum Hannover}	2007
"0511 TV Lokal" (2007) {Jugend kulturell Förderpreis - 'Acoustic Pop' 2012}	2012
"0511 TV Lokal" (2007) {Jugend spielt für Jugend}	2007
"0511 TV Lokal" (2007) {Kari Bremnes - Masala}		2010
"0511 TV Lokal" (2007) {Kinos am Raschplatz - Wiedereröfnung}	2010
"0511 TV Lokal" (2007) {Kultursommer - Rittergut Großgoltern}	2008
"0511 TV Lokal" (2007) {Kunst im Kaufhaus - Made in Korea}	2009
"0511 TV Lokal" (2007) {Kunsthandwerkermarkt in Celle}	2008
"0511 TV Lokal" (2007) {Leigh Bowery and Dresscodes}	2008
"0511 TV Lokal" (2007) {Lichtgestalten}			2008
"0511 TV Lokal" (2007) {Lindemann & Stroganow im TAK}	2010
"0511 TV Lokal" (2007) {Lune Ndiaye - Künstler aus Senegal}	2007
"0511 TV Lokal" (2007) {Magen-Darm-Tag in der MHH}	2008
"0511 TV Lokal" (2007) {Malte Sartorius - Venedig}	2008
"0511 TV Lokal" (2007) {Masala-Konzert auf Gut Adolphshof}	2012
"0511 TV Lokal" (2007) {Mindestlohn-Karawane}		2008
"0511 TV Lokal" (2007) {MiniLinden}			2007
"0511 TV Lokal" (2007) {Moa theater - Besuch der alten Dame}	2007
"0511 TV Lokal" (2007) {MobiliTec 2013 (#2.7)}		2013
"0511 TV Lokal" (2007) {Moonlight Shopping}		2009
"0511 TV Lokal" (2007) {Musik-Kulturfest in Hannover-Linden}	2011
"0511 TV Lokal" (2007) {Mühlentag 2008}			2008
"0511 TV Lokal" (2007) {Old fashioned - Körperformen}	2008
"0511 TV Lokal" (2007) {Pee Wee Ellis - Masala}		2010
"0511 TV Lokal" (2007) {Perlen - Schwul-Lesbisches Film Festival Hannover}	2009
"0511 TV Lokal" (2007) {Peter Shub - Desimo}		2007
"0511 TV Lokal" (2007) {Poetry Slam - 3Raum im Ballhof}	2009
"0511 TV Lokal" (2007) {Poetry Slam mit Bas Böttcher}	2012
"0511 TV Lokal" (2007) {Pressekonferenz Schauspielhaus}	2011
"0511 TV Lokal" (2007) {Produzentengalerie Falkenberg}	2008
"0511 TV Lokal" (2007) {Reinert-Kassner - Erwachsenenfortbildg}	2010
"0511 TV Lokal" (2007) {Rock alternatif français}	2009
"0511 TV Lokal" (2007) {Rosa von Praunheim im Interview zu seinem Film 'Die Jungs vom Bahnhof Zoo'}	2011
"0511 TV Lokal" (2007) {Rufus Beck, die deutsche Hörbuch-Stimme von Harry Potter}	2008
"0511 TV Lokal" (2007) {Salsa Night}			2008
"0511 TV Lokal" (2007) {Schmucki-Festival}		2011
"0511 TV Lokal" (2007) {Schnarch-Museum in Alfeld}	2008
"0511 TV Lokal" (2007) {Scillablütenfest in Hannover-Linden}	2011
"0511 TV Lokal" (2007) {Scillablütenfest}		2007
"0511 TV Lokal" (2007) {Ship O'Fools}			2011
"0511 TV Lokal" (2007) {Sommerfest im JazzClub}		2009
"0511 TV Lokal" (2007) {State of Perfection}		2009
"0511 TV Lokal" (2007) {Stefan Jürgens zu Gast im TAK}	2007
"0511 TV Lokal" (2007) {Tafelfreuden in der Handwerksform}	2008
"0511 TV Lokal" (2007) {Tango Milieu}			2008
"0511 TV Lokal" (2007) {The Winner of Fireworks}	2009
"0511 TV Lokal" (2007) {Theaterformen 2013 (#3.7)}	2013
"0511 TV Lokal" (2007) {Thema YouTube im Literarischen Salon}	2007
"0511 TV Lokal" (2007) {Tour durch Linden mit Sid Auffarth}	2007
"0511 TV Lokal" (2007) {Vorstellung des EcoCarrier - Kleintransporter mit Elektroantrieb}	2008
"0511 TV Lokal" (2007) {You Tube im Literarischen Salon Hannover}	2007
"0511 TV Lokal" (2007) {Zukunftszug}			2009
"0511 TV Lokal" (2007) {Zur Situation der Nachwuchsregisseure}	2007
"0597 da ocupado" (1968)				1968-????
"07 zglos sie" (1976)					1976-1987
"07 zglos sie" (1976) {24 godziny sledztwa (#2.1)}	1978
"07 zglos sie" (1976) {300 tysiecy w nowych banknotach (#1.4)}	1976
"07 zglos sie" (1976) {Bilet do Frankfurtu (#4.4)}	1984
"07 zglos sie" (1976) {Brudna sprawa (#2.3)}		1978
"07 zglos sie" (1976) {Dlaczego pan zabil moja mame (#2.4)}	1978
"07 zglos sie" (1976) {Dziwny wypadek (#1.3)}		1976
"07 zglos sie" (1976) {Grobowiec rodziny von Rausch (#3.1)}	1981
"07 zglos sie" (1976) {Hieny (#3.5)}			1981
"07 zglos sie" (1976) {Major opóznia akcje (#1.1)}	1976
"07 zglos sie" (1976) {Morderca dziala noca (#4.3)}	1984
"07 zglos sie" (1976) {Przerwany urlop (#5.3)}		1987
"07 zglos sie" (1976) {Rozklad jazdy (#2.5)}		1978
"07 zglos sie" (1976) {Scigany przez samego siebie (#3.3)}	1981
"07 zglos sie" (1976) {Skok smierci (#4.1)}		1984
"07 zglos sie" (1976) {Slad rekawiczki (#4.2)}		1984
"07 zglos sie" (1976) {Strzal na dancingu (#3.4)}	1981
"07 zglos sie" (1976) {Wagon pocztowy (#3.2)}		1981
"07 zglos sie" (1976) {Wisior (#1.2)}			1976
"07 zglos sie" (1976) {Zamknac za soba drzwi (#5.1)}	1987
"07 zglos sie" (1976) {Zlocisty (#5.2)}			1987
"07 zglos sie" (1976) {Zloty kielich z rubinami (#2.2)}	1978
"07-Ghost" (2009)					2009-????
"07-Ghost" (2009) {Ainakimono no seigi wa izuko ni.... Yami ni ubawareshi kokoroyo, eien ni... (#1.24)}	2009
"07-Ghost" (2009) {Aishikimono e no tsugunai wa... (#1.11)}	2009
"07-Ghost" (2009) {Anohi, Tashika ni kare to ita (#1.15)}	2009
"07-Ghost" (2009) {Atsuki namida, yasashiku kare no kokoro o mitashi... (#1.5)}	2009
"07-Ghost" (2009) {Futari de sasageru rekuiemu (#1.20)}	2009
"07-Ghost" (2009) {Hanbun dake no tamashii ga kanashiki mezame o yobiokosu (#1.8)}	2009
"07-Ghost" (2009) {Hikari aru michi no saki ni mieru mono wa... (#1.13)}	2009
"07-Ghost" (2009) {Hikari ni tsûzuru tadashiki michi wa (#1.6)}	2009
"07-Ghost" (2009) {Itami to iu na no yami wa hitahita to... (#1.12)}	2009
"07-Ghost" (2009) {Kokoron oyami no sono saki ni (#1.23)}	2009
"07-Ghost" (2009) {Majiwaranu ai, saredo kienu ai no iku sue wa... (#1.19)}	2009
"07-Ghost" (2009) {Mukunaru wagakoyo hikari to nemure (#1.3)}	2009
"07-Ghost" (2009) {Natsukashiki kioku wa itami to tomo ni (#1.2)}	2009
"07-Ghost" (2009) {Nazeyue ni, nanji, haisha no tobira o kuguru.. (#1.21)}	2009
"07-Ghost" (2009) {Setsunaru omoi no yuku sue wa (#1.1)}	2009
"07-Ghost" (2009) {Shinjitsu wa hikari no todokanu yami no soko ni (#1.16)}	2009
"07-Ghost" (2009) {Shinjitsu wa ikue ni mo tsuranaru kokoro no kanata ni... (#1.25)}	2009
"07-Ghost" (2009) {Sore wa tada hitotsu no tsugunai (#1.10)}	2009
"07-Ghost" (2009) {Sutei no hikari ni michibikare, nozokishimono wa... (#1.22)}	2009
"07-Ghost" (2009) {Tada hitasuna naru inori no hate ni (#1.4)}	2009
"07-Ghost" (2009) {Tamashii no iro wa eien ni... (#1.9)}	2009
"07-Ghost" (2009) {Tomo ni tatakau riyû... Sen'yû to yobareru shikaku (#1.14)}	2009
"07-Ghost" (2009) {Tsubasa ni kuwareta tamashii wa aishii wagako no yume o miru? (#1.7)}	2009
"07-Ghost" (2009) {Yami no tsubasa no kenzoku wa, fukô o matoi, maioriru (#1.17)}	2009
"07-Ghost" (2009) {Yurusazaru mono yami ni obore... Ai suru mono wa namida ni nureru (#1.18)}	2009
"077 hizir - Acil servis" (1988)			1988-????
"0800 no llames" (2005)					2005-????
"0800 no llames" (2005) {(#1.1)}			2005
"092" (2001)						2001-????
"092" (2001) {(#1.1)}					2001
"099 Central" (2002)					2002-????
"099 Central" (2002) {(#1.1)}				2002
"1 + 1" (2013)						2013-????
"1 + ena" (2012)					2012-????
"1 a Minute: Destination Survival" (2015)		2015-????
"1 a Minute: Destination Survival" (2015) {Celebrity Cancer Survivors and Celebs Affected by Cancer (#1.9)}	2015
"1 a Minute: Destination Survival" (2015) {Fabulous Possible After Loss of Hair and Body Parts Post Cancer (#1.5)}	2015
"1 a Minute: Destination Survival" (2015) {Fear of Recurrence & Relapse Normal After Cancer (#1.6)}	2015
"1 a Minute: Destination Survival" (2015) {How Does One Thrive After Cancer? (#1.14)}	2015
"1 a Minute: Destination Survival" (2015) {How Others Have Dealt with Chemotherapy (#1.8)}	2015
"1 a Minute: Destination Survival" (2015) {How to Cope with Anxiety & Fear of Death After Cancer (#1.11)}	2015
"1 a Minute: Destination Survival" (2015) {Is Cancer Curable? Conventional & Alternative Therapies for Cancer (#1.7)}	2015
"1 a Minute: Destination Survival" (2015) {IVF and Infertility in Young Cancer Survivors (#1.12)}	2015
"1 a Minute: Destination Survival" (2015) {Life After Cancer Can Be a Gift (#1.10)}	2015
